Symbol,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PNL_Percentage,Hold_Days,Exit_Reason,Num_Averages
CCAP.CA,2021-10-03,2021-11-01,1.14,1.3,13.74,29,Target Hit,0
RMDA.CA,2021-10-05,2021-12-01,1.19,1.47,23.65,57,Target Hit,3
HELI.CA,2021-10-25,2021-12-06,3.72,5.67,52.4,42,Target Hit,2
GBCO.CA,2021-11-17,2021-12-07,3.18,4.01,25.95,20,Target Hit,0
CCAP.CA,2021-11-21,2022-02-02,1.12,1.32,18.17,73,Target Hit,0
EAST.CA,2022-02-24,2022-03-01,7.03,7.9,12.28,5,Target Hit,0
JUFO.CA,2022-02-24,2022-03-27,5.28,6.61,25.32,31,Target Hit,2
RMDA.CA,2022-03-07,2022-08-21,1.2,1.76,47.36,167,Target Hit,2
ETEL.CA,2022-07-04,2022-09-05,11.45,15.2,32.73,63,Target Hit,0
FWRY.CA,2021-10-03,2022-10-03,7.03,3.5,-50.18,365,Max Hold Days,3
BTFH.CA,2021-10-03,2022-10-03,1.74,3.72,113.61,365,Max Hold Days,3
ARCC.CA,2021-10-03,2022-10-03,2.57,3.61,40.42,365,Max Hold Days,3
ISPH.CA,2021-10-03,2022-10-03,2.41,1.79,-25.76,365,Max Hold Days,3
ABUK.CA,2022-07-04,2022-10-25,13.32,17.37,30.37,113,Target Hit,0
EAST.CA,2022-06-21,2022-10-31,6.83,8.03,17.46,132,Target Hit,3
COMI.CA,2022-02-22,2022-11-09,26.67,32.99,23.69,260,Target Hit,3
PHDC.CA,2021-11-15,2022-11-15,1.55,1.51,-2.97,365,Max Hold Days,3
OIH.CA,2021-11-21,2022-11-21,0.19,0.21,10.36,365,Max Hold Days,3
CCAP.CA,2022-05-29,2022-12-01,1.1,1.5,36.38,186,Target Hit,3
ORAS.CA,2021-12-02,2022-12-04,69.06,69.74,0.98,367,Max Hold Days,0
HELI.CA,2022-04-17,2022-12-04,3.88,6.03,55.12,231,Target Hit,3
HRHO.CA,2022-04-18,2022-12-04,9.37,12.88,37.39,230,Target Hit,3
TMGH.CA,2022-05-16,2022-12-07,7.22,9.6,32.92,205,Target Hit,3
GBCO.CA,2022-03-29,2022-12-14,3.27,5.35,63.87,260,Target Hit,3
GBCO.CA,2023-03-15,2023-04-27,3.94,5.71,44.79,43,Target Hit,0
ISPH.CA,2023-02-02,2023-05-21,1.61,2.24,39.37,108,Target Hit,3
EAST.CA,2023-03-16,2023-05-24,9.77,13.22,35.34,69,Target Hit,0
BTFH.CA,2022-12-25,2023-05-25,2.52,4.46,77.22,151,Target Hit,2
TMGH.CA,2023-03-15,2023-08-27,8.4,10.47,24.71,165,Target Hit,0
COMI.CA,2023-07-06,2023-08-30,44.37,51.41,15.85,55,Target Hit,0
PHDC.CA,2023-03-15,2023-10-25,1.66,2.31,39.16,224,Target Hit,0
OIH.CA,2023-03-13,2023-11-09,0.19,0.29,57.1,241,Target Hit,1
ISPH.CA,2023-09-25,2023-11-22,1.91,2.57,34.52,58,Target Hit,1
JUFO.CA,2023-10-02,2023-11-23,11.67,15.71,34.6,52,Target Hit,1
CCAP.CA,2023-08-17,2023-12-03,2.09,2.95,41.37,108,Target Hit,2
RMDA.CA,2023-02-16,2024-01-29,1.53,1.91,24.93,347,Target Hit,3
FWRY.CA,2023-03-19,2024-02-26,4.5,6.67,48.39,344,Target Hit,1
CCAP.CA,2024-03-18,2024-04-21,2.56,3.58,39.57,34,Target Hit,1
BTFH.CA,2023-06-04,2024-06-03,2.76,2.87,3.99,365,Max Hold Days,0
HRHO.CA,2024-04-03,2024-07-09,16.1,22.8,41.61,97,Target Hit,3
JUFO.CA,2024-04-07,2024-08-14,14.26,24.73,73.48,129,Target Hit,2
PHDC.CA,2024-05-09,2024-08-22,3.12,5.36,71.79,105,Target Hit,1
ISPH.CA,2024-03-18,2024-09-22,2.4,4.0,66.67,188,Target Hit,3
RMDA.CA,2024-05-13,2024-10-07,1.9,3.18,67.41,147,Target Hit,0
OIH.CA,2024-03-18,2024-12-10,0.35,0.5,44.83,267,Target Hit,3
FWRY.CA,2024-06-06,2024-12-10,5.75,8.95,55.65,187,Target Hit,0
ARCC.CA,2024-06-04,2024-12-15,7.44,13.21,77.7,194,Target Hit,3
HRHO.CA,2024-12-18,2025-02-18,20.01,24.25,21.19,62,Target Hit,2
ABUK.CA,2024-02-25,2025-02-24,51.92,50.56,-2.62,365,Max Hold Days,3
FWRY.CA,2025-02-26,2025-03-13,8.01,8.9,11.11,15,Target Hit,0
HELI.CA,2024-03-18,2025-03-18,7.87,10.2,29.51,365,Max Hold Days,2
EAST.CA,2024-03-19,2025-03-19,19.93,27.98,40.42,365,Max Hold Days,3
ETEL.CA,2024-04-23,2025-04-23,29.65,33.76,13.86,365,Max Hold Days,3
COMI.CA,2024-04-30,2025-04-30,66.53,77.17,15.99,365,Max Hold Days,0
CCAP.CA,2024-05-09,2025-05-11,2.24,2.81,25.59,367,Max Hold Days,3
BTFH.CA,2024-06-09,2025-06-10,2.46,3.24,31.72,366,Max Hold Days,3
CCAP.CA,2025-06-17,2025-07-07,2.51,3.02,20.32,20,Target Hit,0
EAST.CA,2025-06-18,2025-08-10,25.66,35.18,37.1,53,Target Hit,1
RMDA.CA,2025-09-03,2025-10-26,4.04,4.47,10.84,53,Target Hit,0
TMGH.CA,2024-12-15,2025-11-03,52.17,61.81,18.49,323,Target Hit,3
CCAP.CA,2025-09-08,2025-11-25,2.43,3.27,34.85,78,Target Hit,1
ABUK.CA,2025-05-18,2025-12-23,42.67,50.99,19.51,219,Target Hit,3
PHDC.CA,2025-09-22,2026-02-03,7.16,9.05,26.4,134,Target Hit,0
OIH.CA,2025-11-10,2026-02-04,1.01,1.31,29.06,86,Target Hit,1
ISPH.CA,2026-01-14,2026-02-04,10.27,11.65,13.47,21,Target Hit,0
HRHO.CA,2025-07-09,2026-02-08,23.79,30.8,29.45,214,Target Hit,2
RMDA.CA,2025-11-24,2026-02-24,3.12,4.6,47.32,92,Target Hit,0
ARCC.CA,2026-03-16,2026-03-31,41.49,47.07,13.46,15,Target Hit,0
JUFO.CA,2025-04-09,2026-04-09,27.62,26.24,-5.02,365,Max Hold Days,3
TMGH.CA,2026-03-16,2026-04-19,73.57,93.05,26.47,34,Target Hit,0
PHDC.CA,2026-04-07,2026-04-19,8.25,9.66,17.09,12,Target Hit,0
HRHO.CA,2026-03-16,2026-05-10,25.02,29.94,19.66,55,Target Hit,0
HELI.CA,2025-06-17,2026-06-04,4.43,6.55,47.85,352,Forced Close (End of Backtest),3
BTFH.CA,2025-10-13,2026-06-04,2.89,3.11,7.61,234,Forced Close (End of Backtest),3
EAST.CA,2026-01-04,2026-06-04,34.19,38.61,12.94,151,Forced Close (End of Backtest),1
GBCO.CA,2026-03-08,2026-06-04,24.47,26.33,7.59,88,Forced Close (End of Backtest),2
ISPH.CA,2026-03-09,2026-06-04,9.85,12.51,27.01,87,Forced Close (End of Backtest),2
